flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
1 RK Flat,65.0 L,"Swapnapurti Apartments, Thakur Village, Kandivali East, Mumbai",280 sq.ft,₹23.21 K/sq.ft,18 Year Old,Ready to move,Middleof 8 floors,Semi Furnished,,Swapnapurti Apartments,"65,000Access Zero Brokerage Properties",200 sq.ft,1,1,No Balcony,No Parking,"Swapnapurti CHS in Thakur Village, Mumbai Andheri-Dahisar is a ready-to-move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements andRead More"
1 BHK Flat,38.0 L,"Agarwal Paramount, Global City, Virar West, Mumbai",700 sq.ft,₹5.43 K/sq.ft,2 Year Old,Ready to move,Higherof 14 floors,,,Agarwal Paramount,"76,000(Negotiable)Access Zero Brokerage Properties",450 sq.ft,1,1,2,1 Open Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Virar West. It is on floor 12 out of 14 floors. This Flat is available at a reasonable price of Rs 38.0 L. Maintenance charges inRead More"
2 BHK Flat,4.75 Cr,"Salsette 27, Byculla West, Byculla, Mumbai",850 sq.ft,₹55.88 K/sq.ft,5 Year Old,Ready to move,Lowerof 57 floors,Semi Furnished,,Salsette 27,4.8 LacsAccess Zero Brokerage Properties,798 sq.ft,2,2,No Balcony,2 Covered Parking,"Property for sale in Byculla, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 12. The total number of floors in this building is 57. This Flat's price is Rs 4.75 Cr. Homebuyers will also need to pay Rs 6000 towaRead More"
1 BHK Flat,52.0 L,"Rosa Elite, Bhayandarpada, Thane West, Mumbai",644 sq.ft,₹8.07 K/sq.ft,5 Year Old,Ready to move,Middleof 7 floors,Unfurnished,,Rosa Elite,1.0 LacAccess Zero Brokerage Properties,460 sq.ft,1,1,No Balcony,1 Open Parking,"Rosa Elite is a lavish residential project that offers perfect balance of happiness and blissful life. The project is specially designed to be self-sufficient, offering amenities that exhibit a modern lifestyle and is at par with international standaRead More"
3 BHK Flat,5.5 Cr,"Shivalik Garden Court, Lokmanya Tilak Colony, Dadar East, Mumbai",1600 sq.ft,₹34.38 K/sq.ft,12 Year Old,Ready to move,Middleof 30 floors,Semi Furnished,,Shivalik Garden Court,5.5 Lacs(Negotiable)Access Zero Brokerage Properties,1150 sq.ft,3,3,4,1 Covered Parking,"It is stand alone tower with gated Communities with Some ammenties like gymnisum , yoga room and podium parking of 5 level. Dadar Railway station is just 2 minutes walking distance and highway is also just 2 to 3 minutes walking distance. Famous schoRead More"
4 BHK Flat,8.5 Cr,"Lodha New Cuffe parade Lodha Evoq, Sion, Mumbai",2300 sq.ft,₹36.96 K/sq.ft,6 Year Old,Ready to move,Middleof 41 floors,Semi Furnished,,Lodha New Cuffe parade Lodha Evoq,8.5 LacsAccess Zero Brokerage Properties,2000 sq.ft,4,4,5,2 Covered Parking,"A very good Flat With balcony flat for rent in Lodha
New Cuffe Parade, Wadala, Mumbai Harbour. It is a
superb property and offers an excellent view. The flat is
semi furnished with multiple amenities and promises a
comfortable stay. It is Feng VaastuRead More"
2 BHK Flat,1.54 Cr,"Teenmurty Summit, Devala Pada, Borivali East, Mumbai",1175 sq.ft,₹13.11 K/sq.ft,Ready to move,West facing,West facingFacing,,,Teenmurty Summit,No ChargeAccess Zero Brokerage Properties,712 sq.ft,2,3,No Balcony,1 Covered Parking,"Teenmurty Summit in Borivali (East), Mumbai AndheriDahisar by Teenmurty Summit Realty LLP is a residential project.
The project offers Apartment with perfect combination of contemporary architecture and features to provide comfortable living.

TeenmuRead More"
3 BHK Flat,4.75 Cr,"MJ Shah Arihant Towers, Lower Parel, Mumbai",1500 sq.ft,₹31.67 K/sq.ft,5 Year Old,Ready to move,Middleof 54 floors,Semi Furnished,,MJ Shah Arihant Towers,4.8 LacsAccess Zero Brokerage Properties,1186 sq.ft,3,3,1,1 Covered and 1 Open Parking,"Welcome to ARIHANT TOWERS by MJ Shah. A home where the bliss of harmony resides. More than that, it is the source of spiritual bliss with a Jain Upashray* within the project and a happy community for Jain families. The project offers limited inventorRead More"
3 BHK Flat,3.75 Cr,"Safal Nav Parmanu, Tilak Nagar, Chembur, Mumbai",1205 sq.ft,₹31.12 K/sq.ft,5 Year Old,Ready to move,Middleof 16 floors,Fully Furnished,,Safal Nav Parmanu,4.0 Lacs(Negotiable)Access Zero Brokerage Properties,1105 sq.ft,3,2,No Balcony,2 Covered Parking,This flat is at prime location.Very Spacious and airy flats. More About This Property One of the finest property in Chembur is now available for sale. This is a 3 BHK Flat. Make it yours now. It is on floor 7. It is a 16 storeyed building. The price Read More
2 BHK Flat,2.4 Cr,"Moongipa Winspace Amelio, D.N.Nagar, Andheri West, Mumbai",935 sq.ft,₹25.67 K/sq.ft,3 Year Old,Ready to move,Middleof 17 floors,Unfurnished,,Moongipa Winspace Amelio,2.4 LacsAccess Zero Brokerage Properties,709 sq.ft,2,2,No Balcony,1 Covered Parking,"A spacious 2 BHK located closer to DN Nagar Metro Station, Its is brand new untouched flat. Things of basic necessity is easily available in the vicinity. More About This Property Best 2 BHK Flat for modern-day lifestyle is now available for sale. GrRead More"
2 BHK Flat,4.8 Cr,"Salsette 27, Byculla West, Byculla, Mumbai",980 sq.ft,₹48.98 K/sq.ft,Ready to move,South facing,South facingFacing,,,Salsette 27,4.8 LacsAccess Zero Brokerage Properties,850 sq.ft,2,2,No Balcony,1 Covered Parking,"2 BHK Flat for sale in Mumbai. This property is in Byculla, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 25. The totalRead More"
2 BHK Flat,2.3 Cr,"Transcon Triumph Tower 3, Industrial Area, Andheri West, Mumbai",624 sq.ft,₹36.86 K/sq.ft,2 BHK,"1st Dec, 2025",Middleof 37 floors,Unfurnished,,Transcon Triumph Tower 3,4.0 LacsAccess Zero Brokerage Properties,557 sq.ft,2,2,No Balcony,1 Covered Parking,"Presenting Transcon Triumph T3 where the stars of your home shine the brightest. Be greeted by opulent spaces adorned with exquisite art and pamper yourself with a variety of luxury amenities. Strategically located amid various urban conveniences, itRead More"
2 BHK Flat,1.6 Cr,"Bhoomi Park 2, Kharodi Village, Malad West, Mumbai",1000 sq.ft,₹16 K/sq.ft,10 Year Old,Ready to move,Middleof 20 floors,Unfurnished,,Bhoomi Park 2,No ChargeAccess Zero Brokerage Properties,640 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"Bhoomi Park
Jankalyan Nagar
Malad west
Near billabong school More About This Property A 2 BHK Flat for sale in Malad West, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Malad West's most desired properties. CRead More"
3 BHK Flat,8.5 Cr,"Lodha Trump Tower Mumbai, Lower Parel, Mumbai",1950 sq.ft,₹43.59 K/sq.ft,5 Year Old,Ready to move,Lowerof 78 floors,Semi Furnished,,Lodha Trump Tower Mumbai,8.3 Lacs(Negotiable)Access Zero Brokerage Properties,1600 sq.ft,3,4,No Balcony,2 Covered Parking,"This Property in Lower Parel Good High Rise Towar Nice View Good Surrounding Area Good Connectivity All Over Mumbai  More About This Property 3 BHK Flat for sale in Lower Parel, Mumbai with modern-day amenities. The Flat is in Lower Parel which is a Read More"
2 BHK Flat,49.0 L,"Sunteck West World, Naigaon East, Mumbai",755 sq.ft,₹6.49 K/sq.ft,4 Year Old,Ready to move,Middleof 23 floors,Unfurnished,,Sunteck West World,"90,000(Negotiable)Access Zero Brokerage Properties",547 sq.ft,2,1,3,1 Open Parking,"Check out this 2 BHK Flat for sale in Naigaon East, Mumbai. This 2 BHK Flat is perfect for a modern-day lifestyle. Naigaon East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is Read More"
1 BHK Flat,1.35 Cr,"I C Colony, Borivali West, Mumbai",528 sq.ft,₹25.57 K/sq.ft,7 Year Old,Ready to move,Lowerof 7 floors,Semi Furnished,,Poonam Residency,1.4 LacsAccess Zero Brokerage Properties,415 sq.ft,1,2,No Balcony,No Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Borivali West. It is situated on floor 1. The total number of floors in this Flat is 7. The property price of this Read More"
1 BHK Flat,98.0 L,"Sector 2 Charkop, Kandivali West, Mumbai",570 sq.ft,₹17.19 K/sq.ft,20 Year Old,Ready to move,Higherof 7 floors,Unfurnished,,1.0 LacAccess Zero Brokerage Properties,98.0 L,1,2,No Balcony,Full,1 Open Parking,"A spacious flat which is vastu compliant. The complex is well connected to all the major markets, hospitals, schools and colleges. The complex has 24 hours water supply and has friendly neighbors.  More About This Property Looking for a 1 BHK Flat foRead More"
1 BHK Flat,1.55 Cr,"I C Colony, Borivali West, Mumbai",600 sq.ft,₹25.83 K/sq.ft,7 Year Old,Ready to move,Middleof 22 floors,Unfurnished,,1.6 LacsAccess Zero Brokerage Properties,1.55 Cr,1,2,No Balcony,2 days ago,1 Covered Parking,"A 1 bhk spacious carpet for sale in a tower bldg, spacious rooms 24 hrs water, with gas pipe connection available,  easy excess from all sides new bldg good connectivity metro station just walkable distance church school college market banks all closRead More"
2 BHK Flat,2.1 Cr,"Aastha height, Jawahar Nagar, Goregaon West, Mumbai",900 sq.ft,₹23.33 K/sq.ft,4 Year Old,Ready to move,Higherof 22 floors,Semi Furnished,,2.5 LacsAccess Zero Brokerage Properties,2.1 Cr,2,2,No Balcony,More than a month ago,1 Covered Parking,"""Experience luxury living in this stunning apartment, nestled in the heart of goregaon west. With 2 spacious bedrooms,2 bathrooms, and 1 parking space, this property offers the perfect blend of comfort and convenience.

As you step inside, you'll bRead More"
3 BHK Flat,6.25 Cr,"Matoshree Empress, Hindu Colony, Dadar East, Mumbai",1100 sq.ft,₹56.82 K/sq.ft,8 Year Old,Ready to move,Higherof 11 floors,Fully Furnished,,Matoshree Empress,No ChargeAccess Zero Brokerage Properties,1067 sq.ft,3,3,No Balcony,2 Covered Parking,"3 BHK Flat for sale in Dadar East, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Dadar East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Dadar EasRead More"
1 BHK Flat,24.0 L,"Millionare Classic 99, Morya Nagar, Nalasopara West, Mumbai",700 sq.ft,₹3.43 K/sq.ft,7 Year Old,Ready to move,Higherof 7 floors,Unfurnished,,Millionare Classic 99,"48,000Access Zero Brokerage Properties",550 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"1 BHK Flat for sale in Mumbai. This property is in Nalasopara West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 5. ThRead More"
2 BHK Flat,4.55 Cr,"Lodha Park, Lower Parel, Mumbai",1050 sq.ft,₹43.33 K/sq.ft,4 Year Old,Ready to move,Middleof 77 floors,Semi Furnished,,Lodha Park,4.5 LacsAccess Zero Brokerage Properties,890 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"One of the well situated properties in the heart of South Mumbai with more than 40 to 50 aminties separate Clubhouse swimming pool area More About This Property Property for sale in Lower Parel, Mumbai. This 2 BHK Flat is located in Mumbai's most proRead More"
3 BHK Flat,9.5 Cr,"Hanuman Nagar, Worli, Mumbai",1665 sq.ft,₹57.06 K/sq.ft,20 Year Old,Ready to move,Lowerof 7 floors,Semi Furnished,,9.5 LacsAccess Zero Brokerage Properties,9.5 Cr,3,2,No Balcony,13 days ago,1 Covered Parking,"DESCRIPTION & ADVANTAGES
 SPACIOUS 1665 SQ. FT. (CARPET > 1500 SQ. FT) - PREMIUM NEIGHBOURHOOD
 PRIME LOCATION - FAST UNCONGESTED DRIVE TO NARIMAN POINT | BKC | 
AIRPORT | SUBURBS | ETC.
 GOOD NATURAL LIGHT | WELL VENTILATED | POLLUTION FREE ARead More"
1 BHK Flat,1.22 Cr,"Rajkamal, Yogi Nagar, Borivali West, Mumbai",403 sq.ft,₹30.27 K/sq.ft,1 Years Old,Ready to move,Lowerof 18 floors,Unfurnished,,1.2 LacsAccess Zero Brokerage Properties,1.22 Cr,1,2,No Balcony,14 days ago,1 Covered Parking,"it is a 1BHK Flat at Brand New Tower with Master Bedroom, 24 Hours Water, CCTV, Security Guard, 2 Lift in the Society, Close to the Link Road, Metro Station, Petrol pump, Grocery Stores, Pharmacy, Hospitals, Banks, School, Market, More About This ProRead More"
4 BHK Flat,8.5 Cr,"Bandra West, Mumbai",2400 sq.ft,₹35.42 K/sq.ft,10 Year Old,Ready to move,Middleof 8 floors,Semi Furnished,,Union Park,8.5 Lacs(Negotiable)Access Zero Brokerage Properties,1700 sq.ft,4,4,No Balcony,1 Covered Parking,"Check out this 4 BHK Flat for sale in Bandra West, Mumbai. This 4 BHK Flat is perfect for a modern-day lifestyle. Bandra West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is loRead More"
2 BHK Flat,3.65 Cr,"Nathani Heights, RTO Colony, Mumbai Central, Mumbai",1080 sq.ft,₹33.80 K/sq.ft,2 Year Old,Ready to move,Middleof 72 floors,Fully Furnished,,Nathani Heights,3.6 LacsAccess Zero Brokerage Properties,707 sq.ft,2,2,3,1 Covered Parking,"This property benefits from one open parking space and facilities like 24x7 water supply, power backup for the lift, security and CCTV surveillance, a lift and a garden.
 More About This Property 2 BHK Flat for sale in Mumbai. This property is in MumRead More"
2 BHK Flat,3.7 Cr,"Hiranandani Zen Atlantis, Hiranandani Gardens, Powai, Mumbai",1050 sq.ft,₹35.24 K/sq.ft,5 Year Old,Ready to move,Middleof 28 floors,Fully Furnished,,Hiranandani Zen Atlantis,3.7 LacsAccess Zero Brokerage Properties,770 sq.ft,2,2,No Balcony,2 Covered Parking,"Very well ventilated & lavishly furnished apartment. More About This Property Property for sale in Powai, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 13. The total number of floors in this building is 28. ThRead More"
3 BHK Flat,9.0 Cr,"D APARTMENT, Juhu Vile Parle Development Scheme, Juhu, Mumbai",1740 sq.ft,₹51.72 K/sq.ft,10 Year Old,Ready to move,Middleof 12 floors,,,9.0 LacsAccess Zero Brokerage Properties,9.0 Cr,3,3,No Balcony,20 days ago,2 Covered Parking,"3 BHK Flat for sale in Mumbai. This property is in Juhu, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 5. The total numRead More"
2 BHK Flat,2.4 Cr,"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",1050 sq.ft,₹22.86 K/sq.ft,8 Year Old,Ready to move,Lowerof 22 floors,Unfurnished,,Shapoorji Pallonji Vicinia,2.4 LacsAccess Zero Brokerage Properties,888 sq.ft,2,2,No Balcony,1 Covered Parking,"Looking for a good 2 BHK Flat in Powai, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 6. Total number of floors is 22. Maintenance charges of this property is Rs 1. This Flat is available for Rs 2.3 Cr. Read More"
2 BHK Flat,2.5 Cr,"Sunteck City Avenue 1, Jawahar Nagar, Goregaon West, Mumbai",1125 sq.ft,₹22.22 K/sq.ft,2 Year Old,Ready to move,Lowerof 40 floors,Semi Furnished,,Sunteck City Avenue 1,2.5 LacsAccess Zero Brokerage Properties,900 sq.ft,2,2,3,1 Covered Parking,"2 BHK flat available in Sunteck city avenue1 located near Ram mandir station very close to the highway with all modern amenities like swimming pool ,kids playing area ,garden ,gymnasium, club house etcc it surrounded by basic facility like internatioRead More"
1 BHK Flat,1.2 Cr,"Jeevan Padma CHS, I C Colony, Borivali West, Mumbai",600 sq.ft,₹20 K/sq.ft,20 Year Old,Ready to move,Higherof 12 floors,,,Jeevan Padma CHS,1.2 LacsAccess Zero Brokerage Properties,450 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"This Flat can be a comfortable and affordable home for your family. It is a 1BHK unit available on sale at Borivali west in Mumbai. This 1Bhk flat offers a comfortable life style for families .It is Unfurnished flat.
This unit includes Gas pipeline, Read More"
3 BHK Flat,6.15 Cr,"Parel, Mumbai",1550 sq.ft,₹39.68 K/sq.ft,15 Year Old,Ready to move,Middleof 15 floors,Semi Furnished,,6.1 LacsAccess Zero Brokerage Properties,6.15 Cr,3,3,1,8 days ago,2 Covered Parking,"Available Beautiful 3 Bhk Balcony flat with servant room and attached toilet in one of the best and iconic places, opp to Raj kamal Studio, at a very reasonable rate for more details contact Vijay Estate Agency 5 Star Gold Rated Agent. More About ThiRead More"
2 BHK Flat,40.5 L,"Sumit Greendale, Global City, Virar West, Mumbai",952 sq.ft,₹4.25 K/sq.ft,4 Year Old,Ready to move,Middleof 7 floors,Semi Furnished,,Sumit Greendale,"80,000(Negotiable)Access Zero Brokerage Properties",725 sq.ft,2,1,3,1 Covered and 2 Open Parking,7 storey tower CCTV camera near by Agarwal auto stand  More About This Property One of the finest property in Virar West is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 4. It is a 7 storeyed building. The price of tRead More
1 BHK Flat,78.5 L,"Hiral Legacy, Siddhivinayak Society, Kandivali West, Mumbai",600 sq.ft,₹13.08 K/sq.ft,2 Year Old,Ready to move,Lowerof 12 floors,Semi Furnished,,Hiral Legacy,No ChargeAccess Zero Brokerage Properties,432 sq.ft,1,2,No Balcony,No Parking,"spacious 1BHK for sale in kandivali west on 1st floor  More About This Property Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Kandivali West. It is situated on fRead More"
2 BHK Flat,39.99 L,"Dudhwala Ayan Residency Phase 1, Morya Nagar, Nalasopara West, Mumbai",846 sq.ft,₹4.73 K/sq.ft,1 Years Old,Ready to move,Middleof 14 floors,Semi Furnished,,Dudhwala Ayan Residency Phase 1,"80,000(Negotiable)Access Zero Brokerage Properties",572 sq.ft,2,2,3,1 Open Parking,"NEAR BY INTER NATIONAL SCHOOL and HOSPITAL, Swimming Pool,Gym,Clubhouse,Garden. More About This Property A 2 BHK Flat for sale in Nalasopara West, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Nalasopara WestRead More"
2 BHK Flat,1.9 Cr,"Sunteck City Avenue 2, Somani Gram, Goregaon West, Mumbai",1000 sq.ft,₹19 K/sq.ft,1 Years Old,Ready to move,Higherof 27 floors,Unfurnished,,Sunteck City Avenue 2,1.9 LacsAccess Zero Brokerage Properties,710 sq.ft,2,2,No Balcony,1 Covered Parking,"Bigger carpet, builder condition untouched flat is available for sale More About This Property 2 BHK Flat for sale in Jogeshwari West, Mumbai with modern-day amenities. The Flat is in Jogeshwari West which is a promising investment destination in MumRead More"
3 BHK Flat,5.5 Cr,"On Call, Khar West, Mumbai",1280 sq.ft,₹42.97 K/sq.ft,10 Year Old,Ready to move,Middleof 11 floors,,,5.5 LacsAccess Zero Brokerage Properties,5.5 Cr,3,3,2,12 days ago,2 Covered Parking,"3 BHK Flat for sale in Khar West, Mumbai with modern-day amenities. The Flat is in Khar West which is a promising investment destination in Mumbai. This might be your chance to grab the best 3 BHK property for sale in Khar West. The property is on flRead More"
1 BHK Flat,90.0 L,"Dharti Pressidio, Ambedkar Nagar, Kandivali West, Mumbai",467 sq.ft,₹19.27 K/sq.ft,4 Year Old,Ready to move,Middleof 22 floors,Unfurnished,,Dharti Pressidio,"99,999Access Zero Brokerage Properties",419 sq.ft,1,2,No Balcony,1 Open Parking,One of the finest property in Kandivali West is now available for sale. This is a 1 BHK Flat. Make it yours now. It is on floor 8. It is a 22 storeyed building. The price of this Flat is Rs 90.0 L. Other charges when you move into this property incluRead More
2 BHK Flat,2.9 Cr,"Bhawani Sankar, Dadar West, Mumbai",960 sq.ft,₹30.21 K/sq.ft,2 BHK,"31st Dec, 2024",Higherof 22 floors,Unfurnished,,2.9 LacsAccess Zero Brokerage Properties,2.9 Cr,2,2,No Balcony,10 days ago,1 Covered Parking,"Available for Sell 2 BHK in Dadar west, Near Dadar Police Station, 800 sqft Carpet, property available on Higher floor, 1 covered car parking, prime location, main road touch, possession December, 2024, Price Rs 2.90 Cr. for more information please cRead More"
2 BHK Flat,2.1 Cr,"SYROYA NEW JAGDAMBA, Marol, Andheri East, Mumbai",845 sq.ft,₹24.85 K/sq.ft,3 Year Old,Ready to move,Lowerof 11 floors,Semi Furnished,,2.1 LacsAccess Zero Brokerage Properties,2.1 Cr,2,2,No Balcony,19 days ago,1 Covered Parking,"THIS IS 2BHK SEMI FURNISHE FLAT IN NEW JAGDAMBA CHS, PEACEFUL AREA IN DR. CHARATSINGH COLONY. More About This Property Looking for a 2 BHK Flat for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Andheri EaRead More"
2 BHK Flat,1.1 Cr,"Shapoorji Pallonji Sarova Complex, Singh Agri Estate, Kandivali East, Mumbai",645 sq.ft,₹17.05 K/sq.ft,4 Year Old,Ready to move,Higherof 32 floors,Unfurnished,,1.1 LacsAccess Zero Brokerage Properties,1.1 Cr,2,2,No Balcony,28 days ago,1 Covered Parking,"2 BHK Flat for sale in Mumbai. This property is in Kandivali East, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 27. ThRead More"
2 BHK Flat,2.5 Cr,"Khar West, Mumbai",725 sq.ft,₹34.48 K/sq.ft,7 Year Old,Ready to move,Middleof 7 floors,Fully Furnished,,2.5 LacsAccess Zero Brokerage Properties,2.5 Cr,2,2,3,20 days ago,1 Open Parking,"2bhk apartment with balconies for sale in a new building located in a quiet and peaceful lane at 18th road, khar west. It has one reserved car parking space in the building compound. Flat has good cross ventilation and lots of natural light throughouRead More"
3 BHK Flat,3.3 Cr,"Nahar Arum And Amanda, Chandivali, Powai, Mumbai",1502 sq.ft,₹21.97 K/sq.ft,8 Year Old,Ready to move,Lowerof 21 floors,Semi Furnished,,Nahar Arum And Amanda,3.3 LacsAccess Zero Brokerage Properties,987 sq.ft,3,2,1,1 Covered Parking,"This 2 bhk apartment is available for sale in nahar Amrit Shakti , one of the most prominent projects for flats in chandivali, central mumbai. This residential flat is east-Facing direction. The flat is over 987 sq.Ft. Carpet area and comes with 3 beRead More"
1 BHK Flat,2.2 Cr,"CHS LTD, Dadar West, Mumbai",525 sq.ft,₹41.90 K/sq.ft,30 Year Old,Ready to move,Middleof 7 floors,Semi Furnished,,2.2 LacsAccess Zero Brokerage Properties,2.2 Cr,1,1,No Balcony,21 days ago,No Parking,"1 BHK Flat for sale in Dadar West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Dadar West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Dadar WesRead More"
3 BHK Flat,11.0 Cr,"Juhu Tara, Juhu, Mumbai",1700 sq.ft,₹64.70 K/sq.ft,20 Year Old,Ready to move,Middleof 4 floors,,,11.0 LacsAccess Zero Brokerage Properties,11.0 Cr,3,3,No Balcony,13 days ago,1 Covered and 1 Open Parking,"Property for sale in Juhu, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 2. The total number of floors in this building is 4. This Flat's price is Rs 11.0 Cr. Homebuyers will also need to pay Rs 8000 towards mRead More"
2 BHK Flat,2.6 Cr,"IIT Area, Powai, Mumbai",1100 sq.ft,₹23.64 K/sq.ft,5 Year Old,Ready to move,Lowerof 21 floors,Semi Furnished,,2.6 LacsAccess Zero Brokerage Properties,2.6 Cr,2,2,1,16 days ago,1 Covered Parking,"This is a  2bhk apartment for sale in Lake Florence, Powai. The property is well connected to station, market, school, hospital.
 More About This Property Looking for a good 2 BHK Flat in Powai, Mumbai? This property is in one of Mumbai's most populaRead More"
2 BHK Flat,3.5 Cr,"CALL FOR NAME, Bandra West, Mumbai",1250 sq.ft,₹28 K/sq.ft,20 Year Old,Ready to move,Middleof 7 floors,Fully Furnished,,No ChargeAccess Zero Brokerage Properties,3.5 Cr,2,2,No Balcony,More than a month ago,1 Covered Parking,"Well Maintained Building - Prime Location - Fully Done up Apartment  More About This Property 2 BHK Flat for sale in Bandra West, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Bandra West and offerRead More"
1 BHK Flat,75.0 L,"Christian Gaon, Kurla West, Mumbai",500 sq.ft,₹15 K/sq.ft,8 Year Old,Ready to move,Middleof 6 floors,Semi Furnished,,Aman Apartment,"75,000Access Zero Brokerage Properties",353 sq.ft,1,1,No Balcony,1 Open Parking,"1 Rk semi furnished flat for sale in kurla west,near pheonix market city and kohinoor hospital.located in prime location.connected to all modern amenities.west facing.5-7 mins away from kurla west and vidyavihar west station.Flat has a modular kitcheRead More"
2 BHK Flat,2.85 Cr,"Bombay Kritika Annexe, Union Park, Chembur, Mumbai",1400 sq.ft,₹20.36 K/sq.ft,17 Year Old,Ready to move,Middleof 18 floors,Unfurnished,,Bombay Kritika Annexe,No ChargeAccess Zero Brokerage Properties,900 sq.ft,2,2,1,1 Open Parking,"Best Complex in Chembur Area,  New Paint has done in Building & New  Lobby Work Started, Near Metro Station, R.K Studio, Free Way, Sion Panvel Road Chembur, Flat is Best Value for Money.   More About This Property Check out this 2 BHK Flat for sale iRead More"
1 BHK Flat,78.0 L,"Lalani Heritage Park, Shastri Nagar, Jogeshwari West, Mumbai",380 sq.ft,₹20.53 K/sq.ft,3 Year Old,Ready to move,Lowerof 21 floors,Unfurnished,,Lalani Heritage Park,"78,000Access Zero Brokerage Properties",280 sq.ft,1,1,No Balcony,No Parking,"Available studio apartment in lalani heritage at aqsa masjid lane, jogeshwari west
 More About This Property Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Jogeshwari West. It Read More"
2 BHK Flat,2.03 Cr,"Dridhena Ronaq Heights, Jawahar Nagar, Goregaon West, Mumbai",900 sq.ft,₹22.55 K/sq.ft,1 Years Old,Ready to move,Higherof 7 floors,Semi Furnished,,Dridhena Ronaq Heights,2.0 LacsAccess Zero Brokerage Properties,676 sq.ft,2,2,No Balcony,1 Covered Parking,"A 2 BHK Flat for sale in Goregaon West, Mumbai. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Goregaon West's most desired properties. Contact now for more information. This 2 BHK unit is on floor 5. There are 7 flooRead More"
3 BHK Flat,65.0 L,"Sun Nidhi Park, Yashvant Viva TownShip, Vasai East, Mumbai",840 sq.ft,₹7.74 K/sq.ft,15 Year Old,Ready to move,Middleof 7 floors,Unfurnished,,Sun Nidhi Park,1.3 LacsAccess Zero Brokerage Properties,600 sq.ft,3,3,2,1 Open Parking,"A 3 BHK Flat for sale in Vasai East, Mumbai. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Vasai East's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 7 floors in Read More"
2 BHK Flat,1.1 Cr,"Tawde Wadi, Dahisar West, Mumbai",530 sq.ft,₹20.75 K/sq.ft,Ready to move,North facing,North facingFacing,,,1.1 LacsAccess Zero Brokerage Properties,1.1 Cr,2,2,No Balcony,Full,No Parking,"It's a compact 440 carpet area 2bhk in Brand New Building and Untouched Flat for sale.Building has OC, Security, CCTV Camera, Lifts and 24hrs BMC Water.4 mins walk from Dahisar West Railway Station.For many such 2bhk contact us. More About This PropeRead More"
2 BHK Flat,1.99 Cr,"Godrej Prime, Sai Baba Nagar, Chembur, Mumbai",1080 sq.ft,₹18.43 K/sq.ft,5 Year Old,Ready to move,Higherof 15 floors,Semi Furnished,,Godrej Prime,1.9 LacsAccess Zero Brokerage Properties,751 sq.ft,2,2,1,1 Covered Parking,"Godrej Prime is one of Mumbai’s well-connected residential address 
that stimulates a thriving and energetic lifestyle in a highly sought-after 
location to live, relax and play.
Indulge in the high life at Godrej Prime. Its cosy and efficiently-planRead More"
