flat_type,price,address,buildup_area,age_of_property,which_floor,furnishing,bedrooms,bathrooms,balcony,parking
2 BHK Flat,1.85,Dahisar West,945,15.0,7.0,Unfurnished,2.0,,0.0,yes
4 BHK Flat,5.0,Kandivali East,2150,2.0,41.0,Unfurnished,4.0,4.0,0.0,yes
2 BHK Flat,2.55,Kandivali East,936,10.0,23.0,Unfurnished,2.0,2.0,2.0,yes
3 BHK Flat,4.5,Powai,1450,10.0,36.0,Unfurnished,3.0,3.0,1.0,yes
2 BHK Flat,2.49,Sion,960,30.0,20.0,Semi Furnished,1.0,,0.0,yes
3 BHK Flat,1.95,Dahisar East,1250,7.0,18.0,Unfurnished,3.0,,0.0,yes
2 BHK Flat,2.7,Powai,1150,1.0,26.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.95,others,999,12.0,30.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.4,Mulund East,600,1.0,10.0,Unfurnished,2.0,,0.0,yes
3 BHK Flat,3.99,Mulund West,1886,5.0,16.0,Semi Furnished,2.0,,0.0,yes
3 BHK Flat,3.8,Goregaon East,1500,15.0,11.0,Fully Furnished,3.0,3.0,0.0,yes
2 BHK Flat,3.54,Powai,950,5.0,20.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,3.5,Prabhadevi,1250,15.0,14.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.75,Mira Road East,730,10.0,14.0,Fully Furnished,1.0,2.0,3.0,yes
1 BHK Flat,0.96,Borivali West,550,20.0,6.0,Semi Furnished,1.0,,0.0,yes
2 BHK Flat,1.43,Malad West,650,1.0,23.0,Unfurnished,2.0,2.0,0.0,yes
6 BHK Flat,21.4,Bandra East,3504,1.0,24.0,Semi Furnished,6.0,7.0,0.0,yes
2 BHK Flat,1.4,Kanjurmarg East,800,5.0,11.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,4.55,Mulund West,1451,3.0,45.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,3.1,Wadala East,1150,5.0,34.0,Semi Furnished,2.0,2.0,1.0,yes
3 BHK Flat,3.15,Kanjurmarg West,1200,20.0,22.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,3.7,Powai,1050,5.0,28.0,Fully Furnished,2.0,2.0,0.0,yes
3 BHK Flat,4.5,Mulund West,1560,1.0,39.0,Unfurnished,3.0,2.0,1.0,yes
3 BHK Flat,4.42,Jogeshwari East,1377,10.0,27.0,Semi Furnished,3.0,2.0,2.0,yes
2 BHK Flat,1.6,Mulund East,923,20.0,8.0,Fully Furnished,2.0,2.0,0.0,yes
3 BHK Flat,2.04,Malad West,1020,8.0,23.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,4.5,Powai,1755,10.0,20.0,Semi Furnished,3.0,2.0,3.0,yes
2 BHK Flat,3.65,Mazgaon,900,9.0,13.0,Fully Furnished,2.0,2.0,0.0,yes
1 BHK Flat,0.95,Mulund West,700,10.0,7.0,Fully Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.98,Mulund West,452,20.0,7.0,Semi Furnished,1.0,1.0,0.0,yes
3 BHK Flat,4.32,Mulund West,1800,1.0,62.0,Semi Furnished,3.0,3.0,1.0,yes
3 BHK Flat,2.24,Malad West,1020,22.0,8.0,Semi Furnished,3.0,2.0,0.0,yes
1 BHK Flat,0.85,Kandivali West,678,3.0,22.0,Unfurnished,1.0,2.0,0.0,yes
2 BHK Flat,1.85,Kanjurmarg East,800,1.0,50.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,3.2,Bhandup West,1245,4.0,36.0,Semi Furnished,3.0,3.0,3.0,yes
3 BHK Flat,2.78,Bhandup West,1641,9.0,31.0,Unfurnished,3.0,2.0,1.0,yes
2 BHK Flat,1.57,Powai,810,12.0,14.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.22,Borivali East,700,5.0,16.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.28,Wadala East,520,8.0,14.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.18,Dahisar West,610,12.0,12.0,Semi Furnished,2.0,2.0,,yes
2 BHK Flat,1.0,Kandivali East,650,3.0,33.0,Semi Furnished,2.0,2.0,1.0,yes
1 BHK Flat,0.74,Mira Road East,720,3.0,12.0,Semi Furnished,1.0,2.0,2.0,yes
3 BHK Flat,5.2,Sion,1836,5.0,43.0,Semi Furnished,3.0,2.0,2.0,yes
2 BHK Flat,3.25,Powai,1250,5.0,27.0,Semi Furnished,2.0,1.0,0.0,yes
2 BHK Flat,0.39,Virar West,935,4.0,15.0,Unfurnished,2.0,2.0,3.0,yes
1 BHK Flat,2.1,Andheri West,610,25.0,22.0,Unfurnished,2.0,,0.0,yes
3 BHK Flat,3.4,Mulund West,1500,8.0,35.0,Unfurnished,3.0,3.0,2.0,yes
3 BHK Flat,3.15,Mulund West,1024,1.0,55.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,2.25,Mulund West,1400,15.0,8.0,Fully Furnished,3.0,2.0,0.0,yes
2 BHK Flat,1.59,Malad West,768,10.0,23.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,3.75,Madanpura,1237,17.0,16.0,Fully Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.9,Goregaon West,1100,5.0,16.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,4.75,Byculla,850,5.0,57.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,5.5,Dadar East,1600,12.0,30.0,Semi Furnished,3.0,3.0,4.0,yes
3 BHK Flat,4.5,Borivali East,1200,1.0,52.0,Unfurnished,3.0,,0.0,yes
2 BHK Flat,2.4,Sion,950,5.0,38.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,3.5,Powai,1250,1.0,23.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.77,Bhandup West,950,5.0,22.0,Fully Furnished,2.0,2.0,1.0,yes
2 BHK Flat,2.0,Mulund East,680,1.0,18.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.43,Chembur,650,6.0,15.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,1.6,Kanjurmarg East,900,10.0,18.0,Semi Furnished,2.0,2.0,0.0,yes
4 BHK Flat,9.5,Ghatkopar East,2200,2.0,12.0,Fully Furnished,5.0,2.0,,yes
4 BHK Flat,35.0,Bandra West,3100,10.0,15.0,Semi Furnished,4.0,1.0,,yes
2 BHK Flat,0.52,Virar West,850,5.0,15.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,7.0,Parel,1100,5.0,40.0,Unfurnished,2.0,1.0,,no
2 BHK Flat,0.36,Virar West,890,5.0,7.0,Semi Furnished,2.0,2.0,1.0,yes
3 BHK Flat,3.82,Malad West,1150,8.0,20.0,Semi Furnished,3.0,3.0,2.0,no
3 BHK Flat,3.55,Goregaon East,2200,5.0,15.0,Fully Furnished,3.0,3.0,3.0,yes
2 BHK Flat,1.4,Kandivali West,850,12.0,8.0,Unfurnished,2.0,2.0,0.0,no
2 BHK Flat,1.95,Ghatkopar East,784,1.0,20.0,Semi Furnished,2.0,2.0,0.0,no
1 BHK Flat,0.55,Kandivali West,410,10.0,24.0,Semi Furnished,1.0,2.0,0.0,no
2 BHK Flat,1.55,Goregaon West,1100,7.0,19.0,Unfurnished,2.0,3.0,,yes
3 BHK Flat,4.14,Vikhroli East,1433,5.0,18.0,Semi Furnished,3.0,3.0,2.0,yes
1 BHK Flat,0.39,Vasai East,780,8.0,14.0,Semi Furnished,1.0,1.0,3.0,yes
1 BHK Flat,1.08,Malad West,650,10.0,14.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.85,Dahisar West,500,25.0,4.0,Fully Furnished,2.0,,0.0,yes
3 BHK Flat,3.05,Andheri West,900,1.0,9.0,Unfurnished,2.0,4.0,,yes
1 BHK Flat,1.15,Malad East,630,5.0,16.0,Semi Furnished,1.0,,,yes
2 BHK Flat,1.24,Mira Road East,970,2.0,23.0,Semi Furnished,2.0,2.0,1.0,yes
1 BHK Flat,0.83,Ghatkopar East,600,20.0,7.0,Unfurnished,1.0,,0.0,no
3 BHK Flat,2.25,Malad West,988,10.0,9.0,Fully Furnished,3.0,3.0,0.0,yes
2 BHK Flat,1.7,Kandivali West,950,1.0,20.0,Semi Furnished,2.0,,,yes
1 BHK Flat,0.51,Kandivali West,426,10.0,24.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.61,Mira Road East,680,5.0,16.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,0.53,Malad West,410,10.0,24.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,0.53,Mira Road East,585,3.0,19.0,Unfurnished,1.0,2.0,2.0,no
2 BHK Flat,1.85,Chembur,882,1.0,15.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,3.25,Borivali East,1425,1.0,38.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,3.51,Powai,950,5.0,20.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.95,Mulund West,864,4.0,42.0,Semi Furnished,2.0,2.0,0.0,yes
1 BHK Flat,0.97,Kandivali East,700,2.0,21.0,Unfurnished,1.0,2.0,0.0,yes
3 BHK Flat,2.96,Mulund West,1049,3.0,45.0,Semi Furnished,3.0,3.0,0.0,yes
1 BHK Flat,1.61,Powai,650,3.0,17.0,Semi Furnished,1.0,1.0,0.0,yes
3 BHK Flat,2.5,Borivali West,1250,1.0,12.0,Unfurnished,3.0,1.0,,no
1 BHK Flat,0.69,Mira Road East,650,5.0,7.0,Semi Furnished,1.0,2.0,3.0,yes
1 BHK Flat,1.5,Sion,500,5.0,43.0,Unfurnished,1.0,1.0,1.0,yes
1 BHK Flat,1.03,Malad West,602,10.0,23.0,Unfurnished,1.0,2.0,0.0,yes
3 BHK Flat,4.3,Borivali East,1200,1.0,52.0,Unfurnished,3.0,,0.0,yes
3 BHK Flat,3.7,Bhandup West,1900,3.0,38.0,Unfurnished,3.0,2.0,1.0,yes
3 BHK Flat,2.15,Chembur,1320,4.0,15.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.95,Dahisar West,580,15.0,7.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,1.25,Kandivali West,700,15.0,7.0,Semi Furnished,,,,yes
2 BHK Flat,1.8,Andheri West,850,5.0,16.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.72,Kanjurmarg West,661,3.0,36.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.91,Powai,800,10.0,18.0,Unfurnished,2.0,2.0,2.0,yes
3 BHK Flat,4.5,Andheri West,1650,15.0,27.0,Unfurnished,3.0,3.0,0.0,yes
4 BHK Flat,11.0,Parel,1854,5.0,59.0,Semi Furnished,4.0,3.0,1.0,yes
3 BHK Flat,9.25,Lower Parel,1600,10.0,76.0,Fully Furnished,3.0,2.0,0.0,yes
1 BHK Flat,1.35,Wadala East,585,12.0,14.0,Fully Furnished,1.0,2.0,0.0,yes
3 BHK Flat,3.35,Powai,1500,10.0,20.0,Unfurnished,3.0,2.0,1.0,yes
3 BHK Flat,5.25,Matunga East,2250,5.0,32.0,Unfurnished,3.0,3.0,0.0,yes
3 BHK Flat,3.75,Powai,1550,7.0,20.0,Semi Furnished,3.0,2.0,1.0,yes
3 BHK Flat,3.44,Kanjurmarg East,1573,1.0,50.0,Semi Furnished,3.0,3.0,1.0,yes
2 BHK Flat,2.66,Powai,1000,5.0,22.0,Unfurnished,2.0,2.0,1.0,yes
2 BHK Flat,1.8,Kurla East,695,5.0,12.0,Fully Furnished,2.0,1.0,0.0,yes
2 BHK Flat,3.15,Powai,1450,2.0,14.0,Semi Furnished,2.0,2.0,,yes
3 BHK Flat,2.6,Bhandup West,1050,5.0,33.0,Semi Furnished,3.0,2.0,0.0,yes
2 BHK Flat,0.8,Goregaon East,764,15.0,8.0,Unfurnished,2.0,,0.0,yes
3 BHK Flat,4.6,Goregaon East,2150,8.0,45.0,Semi Furnished,3.0,3.0,1.0,yes
2 BHK Flat,2.2,Powai,1200,10.0,20.0,Unfurnished,1.0,1.0,,yes
3 BHK Flat,3.75,Sion,1500,5.0,42.0,Unfurnished,3.0,2.0,4.0,yes
2 BHK Flat,1.96,Bhandup West,1250,9.0,36.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.08,Mira Road East,1050,7.0,7.0,Semi Furnished,2.0,2.0,3.0,yes
1 BHK Flat,1.2,Wadala East,463,15.0,7.0,Semi Furnished,1.0,1.0,0.0,no
3 BHK Flat,5.75,Mazgaon,1820,4.0,26.0,Semi Furnished,3.0,1.0,,yes
3 BHK Flat,9.25,Worli,1890,15.0,27.0,Semi Furnished,3.0,2.0,0.0,yes
2 BHK Flat,3.0,Powai,1405,5.0,28.0,Semi Furnished,2.0,1.0,2.0,yes
1 BHK Flat,1.4,Kanjurmarg East,750,5.0,22.0,Fully Furnished,1.0,1.0,0.0,yes
3 BHK Flat,2.8,Bhandup West,1350,10.0,43.0,Semi Furnished,3.0,2.0,0.0,yes
3 BHK Flat,4.46,Powai,1750,11.0,20.0,Semi Furnished,3.0,2.0,4.0,yes
3 BHK Flat,4.35,Chembur,1560,5.0,10.0,Semi Furnished,3.0,2.0,2.0,yes
1 BHK Flat,1.21,Byculla,577,7.0,18.0,Fully Furnished,2.0,,0.0,no
2 BHK Flat,2.1,Kanjurmarg West,975,6.0,22.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.7,Borivali West,950,12.0,7.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.71,Borivali East,800,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
1 BHK Flat,0.96,Chembur,695,5.0,23.0,Semi Furnished,1.0,1.0,0.0,yes
2 BHK Flat,2.0,Andheri East,1237,1.0,13.0,Unfurnished,2.0,2.0,1.0,yes
2 BHK Flat,1.75,Chembur,1000,4.0,15.0,Semi Furnished,2.0,2.0,0.0,yes
4 BHK Flat,4.5,Mulund West,1900,7.0,42.0,Semi Furnished,4.0,4.0,1.0,yes
1 BHK Flat,1.0,Kandivali East,615,16.0,7.0,Unfurnished,1.0,2.0,1.0,yes
1 BHK Flat,0.75,Kandivali West,540,17.0,8.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,1.9,Borivali West,710,15.0,7.0,Fully Furnished,2.0,,0.0,yes
1 BHK Flat,1.1,Kandivali West,600,15.0,16.0,Semi Furnished,1.0,2.0,0.0,yes
3 BHK Flat,1.88,Mira Road East,1395,9.0,16.0,Fully Furnished,3.0,3.0,3.0,yes
1 BHK Flat,0.85,Malad West,580,10.0,17.0,Semi Furnished,1.0,2.0,0.0,no
2 BHK Flat,1.8,Goregaon East,800,8.0,44.0,Unfurnished,2.0,2.0,1.0,yes
1 BHK Flat,0.65,Goregaon East,560,13.0,8.0,Fully Furnished,1.0,1.0,1.0,yes
1 BHK Flat,0.61,Mira Road East,690,3.0,22.0,Unfurnished,1.0,2.0,2.0,no
4 BHK Flat,24.0,Cumballa Hill,2700,30.0,20.0,Unfurnished,3.0,2.0,,yes
1 BHK Flat,1.2,Wadala,575,12.0,7.0,Semi Furnished,1.0,2.0,0.0,no
3 BHK Flat,4.51,Powai,1550,5.0,20.0,Semi Furnished,3.0,2.0,3.0,yes
2 BHK Flat,3.5,Powai,950,5.0,22.0,Semi Furnished,2.0,2.0,1.0,yes
3 BHK Flat,3.85,Kandivali East,1162,10.0,22.0,Semi Furnished,3.0,3.0,4.0,yes
2 BHK Flat,2.35,Borivali West,1250,1.0,8.0,Semi Furnished,2.0,1.0,,yes
2 BHK Flat,2.12,Goregaon East,864,1.0,8.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.8,Kandivali East,1010,4.0,38.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,0.44,Nalasopara West,880,5.0,24.0,Semi Furnished,2.0,3.0,,yes
2 BHK Flat,1.75,Malad East,584,1.0,45.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,0.43,Nalasopara West,905,1.0,9.0,Semi Furnished,1.0,3.0,,no
2 BHK Flat,1.4,Mira Road East,1150,1.0,30.0,Semi Furnished,2.0,2.0,2.0,yes
2 BHK Flat,2.2,Kandivali West,950,5.0,16.0,Semi Furnished,2.0,1.0,,yes
2 BHK Flat,1.6,Kandivali West,650,3.0,19.0,Fully Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.54,Chembur,1150,1.0,17.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,1.84,Borivali West,1250,4.0,7.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.7,Borivali West,800,3.0,12.0,Semi Furnished,2.0,2.0,2.0,yes
3 BHK Flat,3.45,Borivali West,1100,3.0,20.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,2.35,Mulund East,1200,1.0,39.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,6.5,Matunga West,2072,5.0,16.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,1.6,Kurla West,1063,2.0,14.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,3.1,Wadala East,1395,3.0,40.0,Semi Furnished,2.0,2.0,1.0,yes
3 BHK Flat,12.5,Santacruz West,2400,4.0,16.0,Semi Furnished,3.0,4.0,4.0,yes
2 BHK Flat,1.75,Mulund East,800,1.0,19.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,2.49,Bhandup West,1080,5.0,16.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,1.8,Dahisar West,890,1.0,18.0,Unfurnished,2.0,2.0,,yes
2 BHK Flat,1.1,Mira Road East,800,2.0,25.0,Fully Furnished,2.0,2.0,3.0,yes
2 BHK Flat,3.1,Sion,1250,2.0,43.0,Semi Furnished,3.0,3.0,,yes
2 BHK Flat,2.2,Kanjurmarg East,1050,1.0,50.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,3.55,Mulund West,1239,2.0,60.0,Semi Furnished,3.0,3.0,1.0,yes
2 BHK Flat,1.65,Dahisar East,615,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,0.98,Mira Road East,1050,1.0,7.0,Semi Furnished,2.0,3.0,,yes
3 BHK Flat,2.75,Borivali West,1200,1.0,12.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,1.4,Bhandup West,730,1.0,18.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.65,Bhandup West,900,4.0,30.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,0.4,Virar West,750,3.0,12.0,Semi Furnished,2.0,3.0,,yes
2 BHK Flat,2.1,Borivali West,880,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,6.8,Byculla,1420,2.0,72.0,Unfurnished,3.0,1.0,,yes
2 BHK Flat,1.2,Mira Road East,756,1.0,12.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,0.8,Mira Road East,1050,3.0,21.0,Semi Furnished,2.0,2.0,3.0,yes
3 BHK Flat,2.7,Santacruz East,1600,2.0,9.0,Fully Furnished,3.0,3.0,,yes
2 BHK Flat,1.96,Dahisar West,995,3.0,20.0,Unfurnished,2.0,2.0,2.0,yes
2 BHK Flat,1.55,Kanjurmarg East,819,4.0,22.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.7,Andheri East,900,4.0,12.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,0.4,Virar West,900,4.0,7.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,2.65,Powai,1000,2.0,20.0,Unfurnished,1.0,1.0,,yes
2 BHK Flat,2.25,Borivali West,1000,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,0.74,Virar West,950,1.0,21.0,Unfurnished,2.0,1.0,2.0,no
2 BHK Flat,2.1,Mulund West,980,1.0,39.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,6.0,Sion,1400,3.0,41.0,Unfurnished,3.0,3.0,3.0,yes
2 BHK Flat,0.48,Virar West,880,4.0,14.0,Unfurnished,2.0,1.0,3.0,yes
2 BHK Flat,0.5,Naigaon East,850,4.0,14.0,Semi Furnished,1.0,3.0,,yes
2 BHK Flat,3.5,Powai,1250,1.0,23.0,Semi Furnished,2.0,2.0,1.0,yes
2 BHK Flat,2.73,Wadala,784,2.0,44.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.9,Powai,1000,1.0,28.0,Semi Furnished,2.0,1.0,0.0,yes
3 BHK Flat,2.33,Malad West,1050,3.0,19.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,1.45,Kurla West,1000,1.0,13.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,3.15,Santacruz East,1200,1.0,10.0,Unfurnished,3.0,,0.0,yes
2 BHK Flat,1.8,Kandivali East,1080,3.0,35.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,0.41,Virar West,952,4.0,7.0,Semi Furnished,2.0,1.0,3.0,yes
2 BHK Flat,1.7,Chembur,780,1.0,15.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,1.2,Mira Road East,1185,1.0,35.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,1.45,Kandivali West,865,5.0,22.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,2.7,Goregaon West,1200,1.0,27.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,3.25,Vile Parle East,900,2.0,9.0,Semi Furnished,2.0,,0.0,yes
3 BHK Flat,3.5,Mulund East,1050,2.0,23.0,Unfurnished,3.0,3.0,2.0,yes
2 BHK Flat,2.5,Chembur,820,2.0,13.0,Unfurnished,2.0,2.0,,yes
2 BHK Flat,3.4,Mahim,850,4.0,22.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,5.1,Malad West,1600,2.0,58.0,Semi Furnished,3.0,3.0,2.0,yes
3 BHK Flat,3.39,Andheri West,1450,3.0,15.0,Unfurnished,3.0,3.0,1.0,yes
3 BHK Flat,4.3,Chembur,1350,4.0,13.0,Semi Furnished,3.0,3.0,2.0,yes
2 BHK Flat,2.4,Kanjurmarg East,895,2.0,39.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.36,Kandivali West,861,4.0,22.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,3.95,Goregaon West,1470,3.0,44.0,Semi Furnished,3.0,2.0,,yes
2 BHK Flat,1.8,Chembur,798,2.0,16.0,Fully Furnished,2.0,,0.0,yes
3 BHK Flat,11.0,Dadar West,1800,5.0,20.0,Semi Furnished,3.0,1.0,,yes
2 BHK Flat,3.5,Andheri West,704,2.0,15.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,4.94,Powai,1550,1.0,14.0,Semi Furnished,3.0,3.0,4.0,yes
2 BHK Flat,1.4,Mulund West,707,1.0,31.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,1.7,Borivali West,724,1.0,12.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,1.5,Borivali West,800,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
3 BHK Flat,3.85,Powai,1365,1.0,24.0,Unfurnished,3.0,3.0,1.0,yes
2 BHK Flat,2.1,Powai,724,1.0,24.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.85,Dahisar East,770,5.0,16.0,Semi Furnished,2.0,,0.0,yes
2 BHK Flat,1.6,Bhandup West,850,4.0,20.0,Fully Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.6,Goregaon West,866,3.0,22.0,Unfurnished,2.0,1.0,,yes
2 BHK Flat,1.85,Kurla West,1280,2.0,14.0,Unfurnished,2.0,2.0,1.0,yes
2 BHK Flat,1.6,Mulund West,800,2.0,15.0,Fully Furnished,2.0,2.0,0.0,yes
2 BHK Flat,2.65,Santacruz East,720,3.0,15.0,Semi Furnished,2.0,2.0,0.0,yes
2 BHK Flat,1.2,Bhandup West,500,2.0,20.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.65,Malad East,1173,5.0,16.0,Semi Furnished,2.0,3.0,0.0,no
3 BHK Flat,13.78,Worli,2120,2.0,70.0,Unfurnished,4.0,3.0,,yes
2 BHK Flat,2.02,Kandivali East,1120,1.0,44.0,Semi Furnished,2.0,1.0,,yes
3 BHK Flat,2.7,Kandivali West,1350,2.0,22.0,Unfurnished,3.0,3.0,0.0,yes
2 BHK Flat,1.6,Andheri West,650,2.0,15.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,5.35,Santacruz West,1166,1.0,15.0,Unfurnished,2.0,2.0,,yes
3 BHK Flat,3.25,Goregaon West,1200,1.0,36.0,Semi Furnished,3.0,2.0,2.0,yes
2 BHK Flat,2.0,Andheri East,956,2.0,12.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,3.33,Ghatkopar East,1086,1.0,16.0,Semi Furnished,3.0,3.0,0.0,no
2 BHK Flat,1.55,Malad East,850,1.0,22.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,1.6,Borivali West,620,1.0,18.0,Unfurnished,2.0,2.0,0.0,no
2 BHK Flat,1.4,Kurla West,1200,1.0,12.0,Semi Furnished,2.0,2.0,,yes
2 BHK Flat,1.1,Mira Road East,1035,1.0,23.0,Unfurnished,2.0,2.0,4.0,yes
2 BHK Flat,1.85,Borivali West,625,2.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,4.99,Dadar West,1250,4.0,18.0,Unfurnished,3.0,1.0,,yes
2 BHK Flat,1.35,Goregaon East,600,5.0,10.0,Semi Furnished,2.0,1.0,,yes
2 BHK Flat,1.25,Vikhroli East,640,1.0,22.0,Unfurnished,2.0,2.0,0.0,yes
2 BHK Flat,1.08,Mira Road East,1100,5.0,16.0,Semi Furnished,2.0,2.0,3.0,yes
2 BHK Flat,0.38,Virar West,950,5.0,16.0,Semi Furnished,2.0,2.0,3.0,yes
3 BHK Flat,2.85,Chembur,1500,1.0,25.0,Unfurnished,3.0,3.0,3.0,yes
3 BHK Flat,3.56,Chembur,1280,4.0,12.0,Semi Furnished,3.0,2.0,0.0,yes
2 BHK Flat,0.87,Mira Road East,1073,3.0,22.0,Unfurnished,2.0,2.0,3.0,yes
2 BHK Flat,3.65,Vile Parle East,686,1.0,9.0,Semi Furnished,2.0,2.0,2.0,yes
3 BHK Flat,2.4,Mulund East,1050,1.0,23.0,Unfurnished,3.0,3.0,2.0,yes
2 BHK Flat,4.1,Lower Parel,1425,4.0,23.0,Unfurnished,2.0,3.0,0.0,yes
2 BHK Flat,3.08,Wadala East,1395,4.0,40.0,Semi Furnished,2.0,1.0,,yes
2 BHK Flat,1.42,Mulund East,614,1.0,17.0,Unfurnished,2.0,,0.0,yes
2 BHK Flat,1.9,Bhandup West,1020,4.0,36.0,Semi Furnished,2.0,2.0,0.0,yes
3 BHK Flat,3.1,Mulund West,1049,5.0,16.0,Semi Furnished,3.0,3.0,0.0,yes
2 BHK Flat,1.47,Dahisar East,680,1.0,35.0,Unfurnished,2.0,2.0,0.0,no
3 BHK Flat,3.7,Mulund West,1303,3.0,45.0,Semi Furnished,3.0,3.0,0.0,yes
3 BHK Flat,3.75,Mulund West,1336,2.0,38.0,Unfurnished,3.0,2.0,1.0,yes
2 BHK Flat,1.9,Kandivali West,594,5.0,16.0,Semi Furnished,2.0,2.0,0.0,yes
